%time,field.data
1569683677254059697,6.322038309
1569683677254312803,6.316417539
1569683677254324448,5.259166118
1569683677254738788,5.233298149
1569683677254749577,0.149540469
1569683677254875482,-0.008954285
1569683677254890139,-2.004949376
1569683677255030582,-2.008441217
1569683677255038349,-2.14425378
1569683677255180652,-2.163290392
1569683677255188770,-2.135491076
1569683677255321085,-2.149632792
1569683677255333194,-1.554327687
1569683677255512141,-1.503119567
1569683677255523691,-0.745782091
1569683677255768791,-0.595071289
1569683677255776683,4.136767809
1569683677255930000,4.135864848
1569683677255942211,4.396675598
1569683677256150814,4.395164737
1569683677256157230,4.113227592
1569683677256344045,4.109596081
1569683677256350876,2.014569931
1569683677256578554,1.893407936
1569683677256585862,0.616028248
1569683677256746295,0.635964942
1569683677256759040,-2.675988403
1569683677256997242,-2.741874528
1569683677257009337,-5.063609436
1569683677257129986,-5.082710814
1569683677257136434,-3.504703709
1569683677257290177,-3.523216078
1569683677257298124,-3.521776646
1569683677257419900,-3.501553175
1569683677257433437,-3.076184552
1569683677257556092,-3.030066216
1569683677257561473,-2.512760157
1569683677257696215,-2.512692288
1569683677257707261,-0.903540231
1569683677257878922,-0.75998825
1569683677257883487,3.343456566
1569683677258004735,3.524135552
1569683677258016772,4.491831751
1569683677258180342,4.518907171
1569683677258188777,4.746959413
1569683677258314895,4.734011052
1569683677258322672,4.344282807
1569683677258460069,4.356827677
1569683677258467222,4.238489256
1569683677258628826,4.189523311
1569683677258634896,2.918374755
1569683677258849081,2.787379563
1569683677258854881,1.267156024
1569683677259093504,1.139067166
1569683677259098519,-2.226334836
1569683677259230832,-2.332088525
1569683677259244900,-4.449433071
1569683677259441750,-4.483903441
1569683677259447320,-3.505100437
1569683677259579682,-3.443301299
1569683677259592513,-2.976416603
1569683677259788255,-2.967976605
1569683677259796251,-2.336215603
1569683677259916652,-2.273098844
1569683677259925541,-1.443042289
1569683677260097806,-1.365252095
1569683677260104073,1.400830289
1569683677260228189,1.543006706
1569683677260232997,4.514674277
1569683677260384709,4.590695662
